feature,mean,std
mean_intensity,142.57399,37.35688
std_intensity,48.18441,13.885028
p10_intensity,77.564354,36.587349
p50_intensity,145.220795,44.233116
p90_intensity,203.109894,41.894302
grad_mean,112.814186,35.40062
grad_std,104.005798,30.826847
edge_density,0.233063,0.074863
fft_bin_1,0.717101,0.126768
fft_bin_2,0.153272,0.065289
fft_bin_3,0.060334,0.033009
fft_bin_4,0.033817,0.022004
fft_bin_5,0.020045,0.014964
fft_bin_6,0.012471,0.010884
fft_bin_7,0.002453,0.002855
fft_bin_8,0.000503,0.000659
high_freq_energy,0.035472,0.02836
hsv_h_hist_1,0.042318,0.045871
hsv_h_hist_2,0.073934,0.079227
hsv_h_hist_3,0.037459,0.046359
hsv_h_hist_4,0.024291,0.040123
hsv_h_hist_5,0.015179,0.031977
hsv_h_hist_6,0.005962,0.011528
hsv_h_hist_7,0.007363,0.0156
hsv_h_hist_8,0.006163,0.014061
hsv_h_hist_9,0.021581,0.041845
hsv_h_hist_10,0.030894,0.049446
hsv_h_hist_11,0.017487,0.030711
hsv_h_hist_12,0.009901,0.022472
hsv_h_hist_13,0.006397,0.010818
hsv_h_hist_14,0.005721,0.010781
hsv_h_hist_15,0.010317,0.020135
hsv_h_hist_16,0.018366,0.037719
hsv_s_hist_1,0.144871,0.092176
hsv_s_hist_2,0.077389,0.045808
hsv_s_hist_3,0.042905,0.035142
hsv_s_hist_4,0.026004,0.027816
hsv_s_hist_5,0.016482,0.021947
hsv_s_hist_6,0.011747,0.021082
hsv_s_hist_7,0.007645,0.018542
hsv_s_hist_8,0.006291,0.023433
hsv_v_hist_1,0.007546,0.018066
hsv_v_hist_2,0.022126,0.030764
hsv_v_hist_3,0.035082,0.030643
hsv_v_hist_4,0.04715,0.031279
hsv_v_hist_5,0.05593,0.032718
hsv_v_hist_6,0.054202,0.031751
hsv_v_hist_7,0.050201,0.037567
hsv_v_hist_8,0.061096,0.064213
b_mean,135.24295,41.772411
g_mean,143.035599,38.000103
r_mean,144.444778,41.224487
b_std,52.695343,15.102982
g_std,49.235237,13.7408
r_std,49.43454,13.885439
h_mean,62.755497,32.089962
s_mean,57.871368,37.278706
v_mean,156.568039,37.175678
h_std,38.417652,19.391581
s_std,37.895191,19.284426
v_std,49.649536,13.528263
hog_1,0.144382,0.083051
hog_2,0.140493,0.080921
hog_3,0.140728,0.085337
hog_4,0.128847,0.083374
hog_5,0.142667,0.083273
hog_6,0.119116,0.077651
hog_7,0.121054,0.082864
hog_8,0.120861,0.077663
hog_9,0.137729,0.078693
hog_10,0.160589,0.084684
hog_11,0.165215,0.087793
hog_12,0.159693,0.09269
hog_13,0.138358,0.08381
hog_14,0.149133,0.078138
hog_15,0.122167,0.077816
hog_16,0.129551,0.083796
