feature,mean,std
mean_intensity,125.138786,41.861637
std_intensity,30.663359,16.806076
p10_intensity,86.379791,48.564419
p50_intensity,124.736931,44.948181
p90_intensity,164.778748,45.888752
grad_mean,78.070328,56.675983
grad_std,66.968109,41.64719
edge_density,0.158031,0.132408
fft_bin_1,0.654158,0.212363
fft_bin_2,0.172812,0.089704
fft_bin_3,0.074533,0.055815
fft_bin_4,0.046347,0.04065
fft_bin_5,0.028805,0.028545
fft_bin_6,0.018753,0.021552
fft_bin_7,0.003779,0.006205
fft_bin_8,0.000806,0.001505
high_freq_energy,0.052144,0.056684
hsv_h_hist_1,0.051724,0.064651
hsv_h_hist_2,0.154823,0.123702
hsv_h_hist_3,0.023669,0.048899
hsv_h_hist_4,0.013478,0.032716
hsv_h_hist_5,0.014107,0.034428
hsv_h_hist_6,0.007186,0.025856
hsv_h_hist_7,0.009432,0.035282
hsv_h_hist_8,0.004962,0.02109
hsv_h_hist_9,0.008296,0.027621
hsv_h_hist_10,0.015391,0.049103
hsv_h_hist_11,0.008031,0.024967
hsv_h_hist_12,0.005748,0.025604
hsv_h_hist_13,0.002522,0.00763
hsv_h_hist_14,0.002264,0.007555
hsv_h_hist_15,0.004382,0.014704
hsv_h_hist_16,0.007317,0.020092
hsv_s_hist_1,0.084339,0.107788
hsv_s_hist_2,0.080295,0.080267
hsv_s_hist_3,0.078899,0.084339
hsv_s_hist_4,0.049506,0.070932
hsv_s_hist_5,0.025643,0.054911
hsv_s_hist_6,0.006523,0.016336
hsv_s_hist_7,0.006402,0.029398
hsv_s_hist_8,0.001727,0.009016
hsv_v_hist_1,0.009982,0.031475
hsv_v_hist_2,0.027222,0.049589
hsv_v_hist_3,0.040937,0.049051
hsv_v_hist_4,0.060046,0.065007
hsv_v_hist_5,0.066872,0.071967
hsv_v_hist_6,0.055922,0.064842
hsv_v_hist_7,0.045565,0.0713
hsv_v_hist_8,0.026787,0.062038
b_mean,106.425873,41.156971
g_mean,123.845734,41.507294
r_mean,134.80072,47.153492
b_std,29.515915,16.071962
g_std,31.434765,17.372198
r_std,31.311419,17.621902
h_mean,39.023735,31.332819
s_mean,70.001358,37.961113
v_mean,140.261307,45.168663
h_std,20.8276,20.956501
s_std,23.574886,15.93713
v_std,31.802813,17.6092
hog_1,0.136761,0.091941
hog_2,0.105506,0.077501
hog_3,0.105294,0.073567
hog_4,0.111316,0.085249
hog_5,0.1627,0.103133
hog_6,0.123143,0.084094
hog_7,0.125469,0.082924
hog_8,0.121259,0.081637
hog_9,0.14307,0.092587
hog_10,0.144607,0.091176
hog_11,0.122358,0.082272
hog_12,0.121956,0.078506
hog_13,0.125178,0.086532
hog_14,0.175613,0.10154
hog_15,0.132982,0.088731
hog_16,0.1334,0.085176
hog_17,0.134861,0.083546
hog_18,0.151441,0.090734
hog_19,0.150284,0.08957
hog_20,0.124897,0.085653
hog_21,0.121378,0.080728
hog_22,0.131871,0.09014
hog_23,0.165664,0.103113
hog_24,0.139722,0.089136
hog_25,0.144504,0.087512
hog_26,0.136903,0.08273
hog_27,0.155735,0.089861
hog_28,0.156863,0.091365
hog_29,0.134738,0.083963
hog_30,0.135146,0.085666
hog_31,0.142451,0.094215
hog_32,0.177594,0.100607
hog_33,0.15058,0.09156
hog_34,0.156865,0.08832
hog_35,0.155334,0.086633
hog_36,0.164813,0.092511
hog_37,0.138921,0.087597
hog_38,0.112329,0.077396
hog_39,0.111637,0.073853
hog_40,0.114267,0.081843
hog_41,0.163605,0.097931
