feature,mean,std
mean_intensity,128.053558,46.632782
std_intensity,27.02277,17.482683
p10_intensity,94.10894,52.893845
p50_intensity,127.272346,50.081165
p90_intensity,162.090775,48.697884
grad_mean,61.915264,51.403057
grad_std,54.576195,39.693325
edge_density,0.118325,0.122175
fft_bin_1,0.698629,0.202333
fft_bin_2,0.155563,0.08928
fft_bin_3,0.064885,0.053824
fft_bin_4,0.038664,0.038412
fft_bin_5,0.024029,0.026778
fft_bin_6,0.014839,0.019355
fft_bin_7,0.00282,0.005661
fft_bin_8,0.000569,0.001269
high_freq_energy,0.042257,0.05204
hsv_h_hist_1,0.059495,0.078731
hsv_h_hist_2,0.160621,0.122599
hsv_h_hist_3,0.022748,0.042827
hsv_h_hist_4,0.007128,0.015691
hsv_h_hist_5,0.00813,0.024762
hsv_h_hist_6,0.004571,0.013193
hsv_h_hist_7,0.005319,0.019489
hsv_h_hist_8,0.001877,0.006198
hsv_h_hist_9,0.007564,0.02472
hsv_h_hist_10,0.021846,0.060755
hsv_h_hist_11,0.008044,0.026809
hsv_h_hist_12,0.00481,0.024183
hsv_h_hist_13,0.00456,0.027438
hsv_h_hist_14,0.002933,0.012726
hsv_h_hist_15,0.004727,0.016589
hsv_h_hist_16,0.00896,0.026134
hsv_s_hist_1,0.109645,0.12593
hsv_s_hist_2,0.072101,0.082461
hsv_s_hist_3,0.06544,0.083782
hsv_s_hist_4,0.046497,0.07088
hsv_s_hist_5,0.028895,0.063623
hsv_s_hist_6,0.007592,0.026019
hsv_s_hist_7,0.002216,0.013239
hsv_s_hist_8,0.000946,0.005973
hsv_v_hist_1,0.011153,0.037628
hsv_v_hist_2,0.028605,0.056377
hsv_v_hist_3,0.036703,0.056367
hsv_v_hist_4,0.054961,0.070924
hsv_v_hist_5,0.065912,0.076988
hsv_v_hist_6,0.055104,0.072937
hsv_v_hist_7,0.045775,0.074568
hsv_v_hist_8,0.03512,0.076162
b_mean,111.833168,45.124813
g_mean,125.558365,46.332993
r_mean,139.108597,51.323254
b_std,26.537567,17.267771
g_std,27.29492,17.646334
r_std,27.906681,19.060987
h_mean,39.316441,35.423843
s_mean,64.410622,39.977325
